"ANO","NIVEL","MUNICIPIO","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC"
2015,"MU",291290,151,0,0,12,139,3,15,54,9,58,86,65,6,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291300,101,0,0,11,90,3,5,20,3,59,52,49,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291310,104,0,0,14,90,5,9,28,4,44,62,42,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291320,180,0,0,33,147,9,15,51,9,63,108,71,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291330,40,0,0,3,37,1,5,6,1,24,20,20,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291340,75,0,0,13,62,6,9,16,8,23,42,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291345,44,0,0,7,37,0,9,12,2,14,25,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291350,155,0,0,8,147,1,17,43,13,73,89,66,6,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
2015,"MU",291360,1336,0,0,169,1167,60,170,312,101,524,775,560,66,0,11,10,1,0,0,0,0,0,7,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
2015,"MU",291370,230,0,0,38,192,10,24,38,19,101,139,91,13,0,3,2,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0
2015,"MU",291380,82,0,0,5,77,1,13,26,3,34,49,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291390,372,0,0,47,325,13,36,67,27,182,208,164,22,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291400,461,0,0,57,404,18,29,69,16,272,252,208,20,0,2,2,0,0,0,0,0,0,1,0,2,0,0,1,0,1,1,1,0,0,0,0,0,0
2015,"MU",291410,80,0,0,5,75,3,9,22,7,34,50,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291420,45,0,0,3,42,2,4,8,3,25,25,20,3,0,1,1,0,0,2,1,0,0,0,0,2,2,0,0,0,0,2,2,0,0,1,0,0,0
2015,"MU",291430,48,0,0,5,43,3,5,10,5,20,27,21,6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291440,149,0,0,13,136,14,38,38,6,40,89,60,6,0,3,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291450,206,0,0,24,182,7,20,40,19,96,113,93,7,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291460,353,0,0,77,276,21,47,79,35,94,221,132,13,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0
2015,"MU",291465,192,0,0,48,144,10,22,66,11,35,129,63,16,0,2,1,1,0,1,0,0,0,2,0,2,1,0,0,1,0,2,2,0,2,0,0,0,0
2015,"MU",291470,423,0,0,61,362,18,51,114,33,146,243,180,18,0,8,8,0,0,0,0,2,0,6,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0
2015,"MU",291480,1578,0,0,196,1382,100,251,395,123,513,909,668,83,0,10,9,1,1,1,1,1,0,8,0,2,1,0,0,1,0,2,2,0,2,0,0,0,0
2015,"MU",291490,99,0,0,23,76,4,7,26,5,34,67,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291500,63,0,0,8,55,2,5,13,5,30,36,27,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0
2015,"MU",291510,102,0,0,8,94,5,10,26,12,41,52,50,3,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291520,82,0,0,14,68,1,11,17,4,35,43,39,4,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,"MU",291530,56,0,0,9,47,1,6,13,8,19,32,24,3,0,3,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291535,63,0,0,16,47,2,8,13,4,20,44,19,2,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291540,37,0,0,4,33,2,3,9,0,19,24,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291550,196,0,0,21,175,3,29,42,23,78,117,79,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291560,421,0,0,71,350,28,54,103,20,145,253,168,19,0,2,2,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0
2015,"MU",291570,54,0,0,8,46,0,4,20,5,17,37,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291580,158,0,0,13,145,4,11,20,9,101,93,65,11,0,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291590,33,0,0,7,26,1,6,11,4,4,24,9,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291600,132,0,0,9,123,3,29,34,12,45,87,45,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0
2015,"MU",291610,132,0,0,16,116,6,20,26,7,57,76,56,6,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291620,86,0,0,9,77,1,11,25,10,30,40,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291630,69,0,0,13,56,2,6,23,1,24,45,24,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1
2015,"MU",291640,474,0,0,60,414,18,45,111,46,194,261,213,31,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,"MU",291650,161,0,0,25,136,5,20,45,10,56,97,64,7,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291660,69,0,0,5,64,2,7,12,13,30,38,31,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291670,67,0,0,2,65,3,3,12,7,40,38,29,6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291680,103,0,0,10,93,5,7,17,6,58,58,45,6,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291685,108,0,0,17,91,1,11,35,7,37,65,43,5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",291690,110,0,0,11,99,2,8,21,2,66,61,49,5,0,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
