"ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
2010,"MUNICIPIO",2905404,NA,0.627,NA,NA
2010,"MUNICIPIO",2905503,NA,0.573,NA,NA
2010,"MUNICIPIO",2905602,NA,0.581,NA,NA
2010,"MUNICIPIO",2905701,NA,0.694,NA,NA
2010,"MUNICIPIO",2905800,NA,0.565,NA,NA
2010,"MUNICIPIO",2905909,NA,0.557,NA,NA
2010,"MUNICIPIO",2906006,NA,0.586,NA,NA
2010,"MUNICIPIO",2906105,NA,0.565,NA,NA
2010,"MUNICIPIO",2906204,NA,0.693,NA,NA
2010,"MUNICIPIO",2906303,NA,0.59,NA,NA
2010,"MUNICIPIO",2906402,NA,0.587,NA,NA
2010,"MUNICIPIO",2906501,NA,0.678,NA,NA
2010,"MUNICIPIO",2906600,NA,0.591,NA,NA
2010,"MUNICIPIO",2906709,NA,0.601,NA,NA
2010,"MUNICIPIO",2906808,NA,0.557,NA,NA
2010,"MUNICIPIO",2906824,NA,0.562,NA,NA
2010,"MUNICIPIO",2906857,NA,0.599,NA,NA
2010,"MUNICIPIO",2906873,NA,0.621,NA,NA
2010,"MUNICIPIO",2906899,NA,0.555,NA,NA
2010,"MUNICIPIO",2906907,NA,0.616,NA,NA
2010,"MUNICIPIO",2907004,NA,0.552,NA,NA
2010,"MUNICIPIO",2907103,NA,0.576,NA,NA
2010,"MUNICIPIO",2907202,NA,0.57,NA,NA
2010,"MUNICIPIO",2907301,NA,0.613,NA,NA
2010,"MUNICIPIO",2907400,NA,0.582,NA,NA
2010,"MUNICIPIO",2907509,NA,0.677,NA,NA
2010,"MUNICIPIO",2907558,NA,0.571,NA,NA
2010,"MUNICIPIO",2907608,NA,0.596,NA,NA
2010,"MUNICIPIO",2907707,NA,0.6,NA,NA
2010,"MUNICIPIO",2907806,NA,0.585,NA,NA
2010,"MUNICIPIO",2907905,NA,0.601,NA,NA
2010,"MUNICIPIO",2908002,NA,0.613,NA,NA
2010,"MUNICIPIO",2908101,NA,0.596,NA,NA
2010,"MUNICIPIO",2908200,NA,0.634,NA,NA
2010,"MUNICIPIO",2908309,NA,0.606,NA,NA
2010,"MUNICIPIO",2908408,NA,0.611,NA,NA
2010,"MUNICIPIO",2908507,NA,0.663,NA,NA
2010,"MUNICIPIO",2908606,NA,0.56,NA,NA
2010,"MUNICIPIO",2908705,NA,0.582,NA,NA
2010,"MUNICIPIO",2908804,NA,0.577,NA,NA
2010,"MUNICIPIO",2908903,NA,0.592,NA,NA
2010,"MUNICIPIO",2909000,NA,0.579,NA,NA
2010,"MUNICIPIO",2909109,NA,0.6,NA,NA
2010,"MUNICIPIO",2909208,NA,0.535,NA,NA
2010,"MUNICIPIO",2909307,NA,0.603,NA,NA
2010,"MUNICIPIO",2909406,NA,0.59,NA,NA
2010,"MUNICIPIO",2909505,NA,0.599,NA,NA
2010,"MUNICIPIO",2909604,NA,0.543,NA,NA
2010,"MUNICIPIO",2909703,NA,0.614,NA,NA
2010,"MUNICIPIO",2909802,NA,0.699,NA,NA
2010,"MUNICIPIO",2909901,NA,0.581,NA,NA
2010,"MUNICIPIO",2910008,NA,0.54,NA,NA
2010,"MUNICIPIO",2910057,NA,0.676,NA,NA
2010,"MUNICIPIO",2910107,NA,0.591,NA,NA
2010,"MUNICIPIO",2910206,NA,0.632,NA,NA
2010,"MUNICIPIO",2910305,NA,0.623,NA,NA
2010,"MUNICIPIO",2910404,NA,0.544,NA,NA
2010,"MUNICIPIO",2910503,NA,0.615,NA,NA
2010,"MUNICIPIO",2900504,NA,0.584,NA,NA
2010,"MUNICIPIO",2910602,NA,0.589,NA,NA
2010,"MUNICIPIO",2910701,NA,0.567,NA,NA
2010,"MUNICIPIO",2910727,NA,0.677,NA,NA
2010,"MUNICIPIO",2910750,NA,0.559,NA,NA
2010,"MUNICIPIO",2910776,NA,0.588,NA,NA
2010,"MUNICIPIO",2910800,NA,0.712,NA,NA
2010,"MUNICIPIO",2910859,NA,0.565,NA,NA
2010,"MUNICIPIO",2910909,NA,0.578,NA,NA
2010,"MUNICIPIO",2911006,NA,0.557,NA,NA
2010,"MUNICIPIO",2911105,NA,0.618,NA,NA
2010,"MUNICIPIO",2911204,NA,0.632,NA,NA
2010,"MUNICIPIO",2911253,NA,0.599,NA,NA
2010,"MUNICIPIO",2911303,NA,0.559,NA,NA
2010,"MUNICIPIO",2911402,NA,0.593,NA,NA
2010,"MUNICIPIO",2911501,NA,0.576,NA,NA
2010,"MUNICIPIO",2911600,NA,0.643,NA,NA
2010,"MUNICIPIO",2911659,NA,0.569,NA,NA
2010,"MUNICIPIO",2911709,NA,0.673,NA,NA
2010,"MUNICIPIO",2911808,NA,0.558,NA,NA
2010,"MUNICIPIO",2911857,NA,0.563,NA,NA
2010,"MUNICIPIO",2911907,NA,0.574,NA,NA
2010,"MUNICIPIO",2912004,NA,0.611,NA,NA
2010,"MUNICIPIO",2912103,NA,0.625,NA,NA
2010,"MUNICIPIO",2912202,NA,0.591,NA,NA
2010,"MUNICIPIO",2912301,NA,0.584,NA,NA
2010,"MUNICIPIO",2912400,NA,0.616,NA,NA
2010,"MUNICIPIO",2912509,NA,0.584,NA,NA
2010,"MUNICIPIO",2912608,NA,0.511,NA,NA
2010,"MUNICIPIO",2912707,NA,0.558,NA,NA
2010,"MUNICIPIO",2912806,NA,0.614,NA,NA
2010,"MUNICIPIO",2912905,NA,0.576,NA,NA
2010,"MUNICIPIO",2913002,NA,0.585,NA,NA
2010,"MUNICIPIO",2913101,NA,0.602,NA,NA
2010,"MUNICIPIO",2913200,NA,0.636,NA,NA
2010,"MUNICIPIO",2913309,NA,0.631,NA,NA
2010,"MUNICIPIO",2913408,NA,0.614,NA,NA
2010,"MUNICIPIO",2913457,NA,0.574,NA,NA
2010,"MUNICIPIO",2913507,NA,0.552,NA,NA
2010,"MUNICIPIO",2913606,NA,0.69,NA,NA
2010,"MUNICIPIO",2913705,NA,0.565,NA,NA
2010,"MUNICIPIO",2913804,NA,0.55,NA,NA
2010,"MUNICIPIO",2913903,NA,0.67,NA,NA
2010,"MUNICIPIO",2914000,NA,0.549,NA,NA
2010,"MUNICIPIO",2914109,NA,0.59,NA,NA
2010,"MUNICIPIO",2914208,NA,0.576,NA,NA
2010,"MUNICIPIO",2914307,NA,0.571,NA,NA
2010,"MUNICIPIO",2914406,NA,0.599,NA,NA
2010,"MUNICIPIO",2914505,NA,0.62,NA,NA
2010,"MUNICIPIO",2914604,NA,0.691,NA,NA
2010,"MUNICIPIO",2914653,NA,0.599,NA,NA
2010,"MUNICIPIO",2914703,NA,0.62,NA,NA
2010,"MUNICIPIO",2914802,NA,0.712,NA,NA
2010,"MUNICIPIO",2914901,NA,0.583,NA,NA
2010,"MUNICIPIO",2915007,NA,0.572,NA,NA
2010,"MUNICIPIO",2915106,NA,0.543,NA,NA
2010,"MUNICIPIO",2915205,NA,0.589,NA,NA
2010,"MUNICIPIO",2915304,NA,0.634,NA,NA
2010,"MUNICIPIO",2915353,NA,0.562,NA,NA
2010,"MUNICIPIO",2915403,NA,0.592,NA,NA
2010,"MUNICIPIO",2915502,NA,0.599,NA,NA
2010,"MUNICIPIO",2915601,NA,0.627,NA,NA
2010,"MUNICIPIO",2915700,NA,0.578,NA,NA
2010,"MUNICIPIO",2915809,NA,0.578,NA,NA
2010,"MUNICIPIO",2915908,NA,0.584,NA,NA
2010,"MUNICIPIO",2916005,NA,0.637,NA,NA
2010,"MUNICIPIO",2916104,NA,0.67,NA,NA
2010,"MUNICIPIO",2916203,NA,0.599,NA,NA
2010,"MUNICIPIO",2916302,NA,0.572,NA,NA
2010,"MUNICIPIO",2916401,NA,0.667,NA,NA
2010,"MUNICIPIO",2916500,NA,0.486,NA,NA
2010,"MUNICIPIO",2916609,NA,0.571,NA,NA
2010,"MUNICIPIO",2916708,NA,0.553,NA,NA
2010,"MUNICIPIO",2916807,NA,0.61,NA,NA
2010,"MUNICIPIO",2916856,NA,0.582,NA,NA
2010,"MUNICIPIO",2916906,NA,0.6,NA,NA
2010,"MUNICIPIO",2917003,NA,0.544,NA,NA
2010,"MUNICIPIO",2917102,NA,0.594,NA,NA
2010,"MUNICIPIO",2917201,NA,0.57,NA,NA
2010,"MUNICIPIO",2917300,NA,0.606,NA,NA
2010,"MUNICIPIO",2917334,NA,0.591,NA,NA
2010,"MUNICIPIO",2917359,NA,0.613,NA,NA
2010,"MUNICIPIO",2917409,NA,0.593,NA,NA
2010,"MUNICIPIO",2917508,NA,0.649,NA,NA
